numero;nom;partie;nombre;pourcentage
Bureau de Vote :110520060102-BUREAU FOKONTANY ANDREFAKADY AMBONISAHA ;Blancs: 2 soit: 2.06% Nuls:4 soit: 4.12%;1;RAZAFINJOELINA;Tahina
FTT;1 1.10%;2;ANDRIANAINARIVELO;Hajo;Herivelona
MMM;0 0%;3;RAJOELINA;Andry;Nirina
TGV;52 57.14%;4;RATSIRAKA;Iarovana;Roland
MTS;0 0%;5;RAVALOMANANA;Marc
TIM;19 20.88%;6;PARAINA;Auguste;Richard
TT;1 1.10%;7;RAOBELINA;ANDRIAMALALA;Andry;Tsiverizo
ARB;1 1.10%;8;RAZAFINTSIANDRAOFA;Jean;Brunelle
APM;1 1.10%;9;RATSIRAHONANA;Lalaina;Harilanto
Antoko Fihavanantsika An'i Kristy;0 0%;10;RAJAONARIMAMPIANINA;RAKOTOARIMANANA;Hery;
HVM;0 0%;11;RADERANIRINA;Sendrison;Daniela
Fy-M;1 1.10%;12;RATSIETISON;Jean-Jacques;Jedidia
FMI-Ma;0 0%;13;RANDRIANASOLONIAIKO;Siteny;Thierry
Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;15 16.48%;
