numero;nom;partie;nombre;pourcentage
Bureau de Vote :110521050102-SEKOLY KATOLIKA SAINT VINCENT DE PAUL ;Blancs: 13 soit: 6.19% Nuls:12 soit: 5.71%;1;;RAZAFINJOELINA;Tahina
FTT;2 1.08%;2;;ANDRIANAINARIVELO;Hajo;Herivelona
MMM;0 0%;3;;RAJOELINA;Andry;Nirina
TGV;136 73.51%;4;;RATSIRAKA;Iarovana;Roland
MTS;0 0%;5;;RAVALOMANANA;Marc
TIM;22 11.89%;6;;PARAINA;Auguste;Richard
TT;0 0%;7;;RAOBELINA;ANDRIAMALALA;Andry;Tsiverizo
ARB;2 1.08%;8;;RAZAFINTSIANDRAOFA;Jean;Brunelle
APM;1 0.54%;9;;RATSIRAHONANA;Lalaina;Harilanto
Antoko Fihavanantsika An'i Kristy;0 0%;10;;RAJAONARIMAMPIANINA;RAKOTOARIMANANA;Hery;
HVM;1 0.54%;11;;RADERANIRINA;Sendrison;Daniela
Fy-M;0 0%;12;;RATSIETISON;Jean-Jacques;Jedidia
FMI-Ma;0 0%;13;;RANDRIANASOLONIAIKO;Siteny;Thierry
Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;21 11.35%;
