numero;nom;partie;nombre;pourcentage
Bureau de Vote :110522050103-BUREAU FOKONTANY VAOVAO AVARABOHITRA ;Blancs: 7 soit: 3.83% Nuls:3 soit: 1.64%;1;RAZAFINJOELINA;Tahina
FTT;6 3.47%;2;ANDRIANAINARIVELO;Hajo;Herivelona
MMM;0 0%;3;RAJOELINA;Andry;Nirina
TGV;120 69.36%;4;RATSIRAKA;Iarovana;Roland
MTS;0 0%;5;RAVALOMANANA;Marc
TIM;27 15.61%;6;PARAINA;Auguste;Richard
TT;0 0%;7;RAOBELINA;ANDRIAMALALA;Andry;Tsiverizo
ARB;1 0.58%;8;RAZAFINTSIANDRAOFA;Jean;Brunelle
APM;1 0.58%;9;RATSIRAHONANA;Lalaina;Harilanto
Antoko Fihavanantsika An'i Kristy;1 0.58%;10;RAJAONARIMAMPIANINA;RAKOTOARIMANANA;Hery;
HVM;1 0.58%;11;RADERANIRINA;Sendrison;Daniela
Fy-M;0 0%;12;RATSIETISON;Jean-Jacques;Jedidia
FMI-Ma;0 0%;13;RANDRIANASOLONIAIKO;Siteny;Thierry
Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;16 9.25%;
