numero;nom;partie;nombre;pourcentage
Blancs: 10 soit: 4.31% Nuls:18 soit: 7.76%;Suffrages ;1;;RAZAFINJOELINA;Tahina
FTT;1 0.49%;2;;ANDRIANAINARIVELO;Hajo;Herivelona
MMM;1 0.49%;3;;RAJOELINA;Andry;Nirina
TGV;153 75%;4;;RATSIRAKA;Iarovana;Roland
MTS;1 0.49%;5;;RAVALOMANANA;Marc
TIM;23 11.27%;6;;PARAINA;Auguste;Richard
TT;1 0.49%;7;;RAOBELINA;ANDRIAMALALA;Andry;Tsiverizo
ARB;0 0%;8;;RAZAFINTSIANDRAOFA;Jean;Brunelle
APM;0 0%;9;;RATSIRAHONANA;Lalaina;Harilanto
Antoko Fihavanantsika An'i Kristy;0 0%;10;;RAJAONARIMAMPIANINA;RAKOTOARIMANANA;Hery;
HVM;0 0%;11;;RADERANIRINA;Sendrison;Daniela
Fy-M;1 0.49%;12;;RATSIETISON;Jean-Jacques;Jedidia
FMI-Ma;1 0.49%;13;;RANDRIANASOLONIAIKO;Siteny;Thierry
Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;22 10.78%;
