numero;nom;partie;nombre;pourcentage
Suffrages ;1;RAZAFINJOELINA Tahina;FTT
1 0.40%;2;ANDRIANAINARIVELO Hajo Herivelona;MMM
3 1.19%;3;RAJOELINA Andry Nirina;TGV
195 77.38%;4;RATSIRAKA Iarovana Roland;MTS
1 0.40%;5;RAVALOMANANA Marc;TIM
18 7.14%;6;PARAINA Auguste Richard;TT
1 0.40%;7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB
3 1.19%;8;RAZAFINTSIANDRAOFA Jean Brunelle;APM
1 0.40%;9;RATSIRAHONANA Lalaina Harilanto;Antoko;Fihavanantsika;An'i;Kristy
1 0.40%;10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM
1 0.40%;11;RADERANIRINA Sendrison Daniela;Fy-M
4 1.59%;12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma
0 0%;13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD,;PSD,;RPSD;Vaovao,;ABA
23 9.13%;
