numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;1;0.82%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.82%
3; RAJOELINA Andry Nirina;TGV;63;51.64%
4; RATSIRAKA Iarovana Roland;MTS;0;0%
5; RAVALOMANANA Marc;TIM;32;26.23%
6; PARAINA Auguste Richard;TT;1;0.82%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.82%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;5;4.10%
11; RADERANIRINA Sendrison Daniela;Fy-M;1;0.82%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;17;13.93%
